Latitude,40.6,,,,,,,
Longitude,112.71,,,,,,,
Year,Month,Day,Hour,Minute,Temperature,Pressure,Wind Direction,Wind Speed
2020,1,1,0,0,-19.3,880,265,4
2020,1,1,0,10,-19.3,880,265,4
2020,1,1,0,20,-19.3,880,265,4
2020,1,1,0,30,-19.3,880,265,4
2020,1,1,0,40,-19.3,880,265,4.1
2020,1,1,0,50,-19.3,879,266,4.1
2020,1,1,1,0,-19.3,879,266,4.1
2020,1,1,1,10,-19.3,879,266,4
2020,1,1,1,20,-19.3,879,266,4
2020,1,1,1,30,-19.3,879,266,4
2020,1,1,1,40,-19.3,879,265,4
2020,1,1,1,50,-19.4,879,265,3.9
2020,1,1,2,0,-19.4,879,265,3.9
2020,1,1,2,10,-19.4,879,265,3.9
2020,1,1,2,20,-19.5,879,265,3.9
2020,1,1,2,30,-19.5,879,264,3.9
2020,1,1,2,40,-19.5,879,264,3.9
2020,1,1,2,50,-19.6,879,263,3.9
2020,1,1,3,0,-19.6,879,263,3.8
2020,1,1,3,10,-19.7,878,263,3.9
2020,1,1,3,20,-19.7,878,262,3.9
2020,1,1,3,30,-19.7,878,262,3.9
2020,1,1,3,40,-19.8,878,261,3.9
2020,1,1,3,50,-19.8,878,261,3.9
2020,1,1,4,0,-19.8,878,261,3.9
2020,1,1,4,10,-19.9,878,261,3.9
2020,1,1,4,20,-19.9,878,260,3.9
2020,1,1,4,30,-20,878,260,3.9
2020,1,1,4,40,-20,878,260,3.9
2020,1,1,4,50,-20.1,878,260,3.8
2020,1,1,5,0,-20.1,878,260,3.8
2020,1,1,5,10,-20.1,878,259,3.8
2020,1,1,5,20,-20.2,878,259,3.8
2020,1,1,5,30,-20.2,878,258,3.8
2020,1,1,5,40,-20.2,878,258,3.8
2020,1,1,5,50,-20.3,878,258,3.8
2020,1,1,6,0,-20.3,878,257,3.8
2020,1,1,6,10,-20.3,878,257,3.8
2020,1,1,6,20,-20.3,878,257,3.8
2020,1,1,6,30,-20.3,878,257,3.9
2020,1,1,6,40,-20.3,878,257,3.9
2020,1,1,6,50,-20.3,878,257,3.9
2020,1,1,7,0,-20.3,878,257,3.9
2020,1,1,7,10,-20.3,878,257,3.9
2020,1,1,7,20,-20.3,878,257,3.9
2020,1,1,7,30,-20.3,878,257,3.9
2020,1,1,7,40,-20.3,878,257,3.9
2020,1,1,7,50,-20.3,878,257,3.9
2020,1,1,8,0,-15.6,885,275,1.6
2020,1,1,8,10,-14.9,885,276,1.7
2020,1,1,8,20,-14.3,885,277,1.9
2020,1,1,8,30,-13.6,885,278,2
2020,1,1,8,40,-12.9,885,279,2.1
2020,1,1,8,50,-12.2,885,280,2.2
2020,1,1,9,0,-11.6,885,281,2.3
2020,1,1,9,10,-11.1,885,281,2.4
2020,1,1,9,20,-10.6,885,281,2.5
2020,1,1,9,30,-10.2,885,281,2.6
2020,1,1,9,40,-9.7,885,281,2.7
2020,1,1,9,50,-9.2,885,281,2.8
2020,1,1,10,0,-8.7,885,281,2.9
